frame intention_type current_velocity steering_wheel_angle dlm
216 dlm 0.4737695157527924 0.00017632842354942113 forward
217 dlm 0.5965487957000732 -0.0004090153961442411 forward
218 dlm 0.5965487957000732 -0.0004090153961442411 forward
219 dlm 0.5965487957000732 -0.0004090153961442411 forward
220 dlm 0.5702498555183411 -0.0022292598150670533 forward
221 dlm 0.5702498555183411 -0.0022292598150670533 forward
222 dlm 0.5702498555183411 -0.0022292598150670533 forward
223 dlm 0.6057964563369751 -0.0025271254125982523 forward
224 dlm 0.6057964563369751 -0.0025271254125982523 forward
225 dlm 0.624522864818573 -0.0009477825369685887 forward
226 dlm 0.624522864818573 -0.0009477825369685887 forward
227 dlm 0.624522864818573 -0.0009477825369685887 forward
228 dlm 0.5929887294769287 -0.00031867943471297616 forward
229 dlm 0.5929887294769287 -0.00031867943471297616 forward
230 dlm 0.5693015456199646 0.007828698493540287 forward
231 dlm 0.5693015456199646 0.007828698493540287 forward
232 dlm 0.6087658405303955 8.600178261986002e-05 forward
233 dlm 0.6087658405303955 8.600178261986002e-05 forward
234 dlm 0.6087658405303955 8.600178261986002e-05 forward
235 dlm 0.06981543451547623 -0.0006754716741852463 forward
236 dlm 0.06981543451547623 -0.0006754716741852463 forward
237 dlm 0.06981543451547623 -0.0006754716741852463 forward
238 dlm 0.11636404693126676 -0.0005043222336098552 forward
239 dlm 0.11636404693126676 -0.0005043222336098552 forward
240 dlm 0.5108453035354614 0.001629345933906734 forward
241 dlm 0.5108453035354614 0.001629345933906734 forward
242 dlm 0.4844740033149719 0.03704450279474258 forward
243 dlm 0.4844740033149719 0.03704450279474258 forward
244 dlm 0.4844740033149719 0.03704450279474258 forward
245 dlm 0.4599733650684357 0.016222679987549782 forward
246 dlm 0.4599733650684357 0.016222679987549782 forward
247 dlm 0.2111862152814865 -0.0004141889221500605 forward
248 dlm 0.2111862152814865 -0.0004141889221500605 forward
249 dlm 0.2111862152814865 -0.0004141889221500605 forward
250 dlm 0.5151321887969971 0.06389568746089935 forward
251 dlm 0.5151321887969971 0.06389568746089935 forward
252 dlm 0.6157387495040894 0.000949603330809623 forward
253 dlm 0.6157387495040894 0.000949603330809623 forward
254 dlm 0.6157387495040894 0.000949603330809623 forward
255 dlm 0.5487079024314879 -0.0002692534471862018 forward
256 dlm 0.5487079024314879 -0.0002692534471862018 forward
257 dlm 0.5217183232307434 0.0003527026274241507 forward
258 dlm 0.5217183232307434 0.0003527026274241507 forward
259 dlm 0.3624499142169952 4.6209850552259006e-05 forward
260 dlm 0.3624499142169952 4.6209850552259006e-05 forward
261 dlm 0.3624499142169952 4.6209850552259006e-05 forward
262 dlm 0.5445142388343811 0.0003643027739599346 forward
263 dlm 0.5445142388343811 0.0003643027739599346 forward
264 dlm 0.5445142388343811 0.0003643027739599346 forward
265 dlm 0.5917298793792725 8.378906932193786e-05 forward
266 dlm 0.5917298793792725 8.378906932193786e-05 forward
267 dlm 0.5917298793792725 8.378906932193786e-05 forward
268 dlm 0.3350270390510559 -1.9018014427274466e-05 forward
269 dlm 0.3350270390510559 -1.9018014427274466e-05 forward
270 dlm 0.22737286984920504 -0.00038936128839850426 forward
271 dlm 0.22737286984920504 -0.00038936128839850426 forward
272 dlm 0.22737286984920504 -0.00038936128839850426 forward
273 dlm 0.6160550117492676 0.0001030463827191852 forward
274 dlm 0.6160550117492676 0.0001030463827191852 forward
275 dlm 0.6160550117492676 0.0001030463827191852 forward
276 dlm 0.6259819269180298 -0.00027185957878828054 forward
277 dlm 0.6259819269180298 -0.00027185957878828054 forward
278 dlm 0.6274352073669434 -0.00025206341524608444 forward
279 dlm 0.6274352073669434 -0.00025206341524608444 forward
280 dlm 0.6198525428771973 0.00039762523374520237 forward
281 dlm 0.6198525428771973 0.00039762523374520237 forward
282 dlm 0.6198525428771973 0.00039762523374520237 forward
283 dlm 0.6179628968238831 -0.00048564243479631836 forward
284 dlm 0.6179628968238831 -0.00048564243479631836 forward
285 dlm 0.6179628968238831 -0.00048564243479631836 forward
286 dlm 0.6153084635734558 -0.0005356300971470773 forward
287 dlm 0.6153084635734558 -0.0005356300971470773 forward
288 dlm 0.6153084635734558 -0.0005356300971470773 forward
289 dlm 0.601428747177124 -0.0007550604059360921 forward
290 dlm 0.601428747177124 -0.0007550604059360921 forward
291 dlm 0.6255062222480774 -2.755550667643547e-07 forward
292 dlm 0.6255062222480774 -2.755550667643547e-07 forward
293 dlm 0.6280019283294678 0.006004385650157929 forward
294 dlm 0.6280019283294678 0.006004385650157929 forward
295 dlm 0.6280019283294678 0.006004385650157929 forward
296 dlm 0.6110666394233704 0.11910904198884965 forward
297 dlm 0.6110666394233704 0.11910904198884965 forward
298 dlm 0.6236514449119568 0.004743472207337618 forward
299 dlm 0.6236514449119568 0.004743472207337618 forward
300 dlm 0.6236514449119568 0.004743472207337618 forward
301 dlm 0.6283072233200073 4.1115541534964e-05 forward
302 dlm 0.6283072233200073 4.1115541534964e-05 forward
303 dlm 0.6283072233200073 4.1115541534964e-05 forward
304 dlm 0.6268866062164307 0.000303238513879478 forward
305 dlm 0.6268866062164307 0.000303238513879478 forward
306 dlm 0.6282772421836853 7.568617729702964e-05 forward
307 dlm 0.6282772421836853 7.568617729702964e-05 forward
308 dlm 0.6282772421836853 7.568617729702964e-05 forward
309 dlm 0.6101992130279541 0.0006271483725868165 forward
